,name,boss_num,prog_time,guild_name
6,The Council of Blood,6,16.66668,Idiot
7,Sludgefist,7,13.8889,Idiot
8,Stone Legion Generals,8,22.22224,Idiot
9,Sire Denathrius,9,36.11114,Idiot
0,Shriekwing,0,0.0,Temerity
1,Huntsman Altimor,1,0.0,Temerity
2,Hungering Destroyer,2,0.0,Temerity
3,Sun King's Salvation,3,2.77778,Temerity
4,Artificer Xy'mox,4,5.55556,Temerity
5,Lady Inerva Darkvein,5,5.55556,Temerity
6,The Council of Blood,6,22.22222,Temerity
7,Sludgefist,7,27.77778,Temerity
8,Stone Legion Generals,8,13.8889,Temerity
9,Sire Denathrius,9,11.11112,Temerity
0,Shriekwing,0,8.33334,Deal With It
1,Huntsman Altimor,1,11.11112,Deal With It
2,Hungering Destroyer,2,11.11112,Deal With It
3,Sun King's Salvation,3,11.11112,Deal With It
4,Artificer Xy'mox,4,5.55556,Deal With It
5,Lady Inerva Darkvein,5,13.8889,Deal With It
6,The Council of Blood,6,8.33334,Deal With It
7,Sludgefist,7,11.11112,Deal With It
8,Stone Legion Generals,8,19.44446,Deal With It
9,Sire Denathrius,9,16.66668,Deal With It
0,Shriekwing,0,0.0,Honolulu
1,Huntsman Altimor,1,2.77778,Honolulu
2,Hungering Destroyer,2,0.0,Honolulu
3,Sun King's Salvation,3,0.0,Honolulu
4,Artificer Xy'mox,4,5.55556,Honolulu
5,Lady Inerva Darkvein,5,8.33334,Honolulu
6,The Council of Blood,6,2.77778,Honolulu
7,Sludgefist,7,0.0,Honolulu
8,Stone Legion Generals,8,11.11112,Honolulu
9,Sire Denathrius,9,13.8889,Honolulu
0,Shriekwing,0,0.0,Okay Tier
1,Huntsman Altimor,1,0.0,Okay Tier
2,Hungering Destroyer,2,2.77778,Okay Tier
3,Sun King's Salvation,3,5.55556,Okay Tier
4,Artificer Xy'mox,4,8.33334,Okay Tier
5,Lady Inerva Darkvein,5,8.33334,Okay Tier
6,The Council of Blood,6,19.44446,Okay Tier
7,Sludgefist,7,11.11112,Okay Tier
8,Stone Legion Generals,8,33.33336,Okay Tier
9,Sire Denathrius,9,25.00002,Okay Tier
0,Shriekwing,0,2.77778,Bloody Tearz
1,Huntsman Altimor,1,2.77778,Bloody Tearz
2,Hungering Destroyer,2,2.77778,Bloody Tearz
3,Sun King's Salvation,3,13.8889,Bloody Tearz
4,Artificer Xy'mox,4,11.11112,Bloody Tearz
5,Lady Inerva Darkvein,5,2.77778,Bloody Tearz
6,The Council of Blood,6,22.22224,Bloody Tearz
7,Sludgefist,7,19.44446,Bloody Tearz
8,Stone Legion Generals,8,44.44448,Bloody Tearz
9,Sire Denathrius,9,27.7778,Bloody Tearz
0,Shriekwing,0,0.0,Wiping As Intended
1,Huntsman Altimor,1,0.0,Wiping As Intended
2,Hungering Destroyer,2,0.0,Wiping As Intended
3,Sun King's Salvation,3,2.77778,Wiping As Intended
4,Artificer Xy'mox,4,2.77778,Wiping As Intended
5,Lady Inerva Darkvein,5,5.55556,Wiping As Intended
6,The Council of Blood,6,0.0,Wiping As Intended
7,Sludgefist,7,2.77778,Wiping As Intended
8,Stone Legion Generals,8,16.66668,Wiping As Intended
9,Sire Denathrius,9,11.11112,Wiping As Intended
0,Shriekwing,0,0.0,Reformed
1,Huntsman Altimor,1,0.0,Reformed
2,Hungering Destroyer,2,2.77778,Reformed
3,Sludgefist,7,0.0,Reformed
4,Stone Legion Generals,8,0.0,Reformed
5,Sire Denathrius,9,2.77778,Reformed
0,Shriekwing,0,0.0,Just Kill the Boss
1,Huntsman Altimor,1,0.0,Just Kill the Boss
2,Hungering Destroyer,2,0.0,Just Kill the Boss
3,Sun King's Salvation,3,2.77778,Just Kill the Boss
4,Artificer Xy'mox,4,0.0,Just Kill the Boss
5,Lady Inerva Darkvein,5,0.0,Just Kill the Boss
6,Stone Legion Generals,8,2.77778,Just Kill the Boss
7,Sire Denathrius,9,2.77778,Just Kill the Boss
0,Shriekwing,0,8.33334,Norrlands Guld
1,Huntsman Altimor,1,0.0,Norrlands Guld
2,Hungering Destroyer,2,8.33334,Norrlands Guld
3,Sun King's Salvation,3,8.33334,Norrlands Guld
4,Artificer Xy'mox,4,13.8889,Norrlands Guld
5,Lady Inerva Darkvein,5,8.33334,Norrlands Guld
6,The Council of Blood,6,11.11112,Norrlands Guld
7,Sludgefist,7,19.44446,Norrlands Guld
8,Stone Legion Generals,8,41.6667,Norrlands Guld
9,Sire Denathrius,9,19.44446,Norrlands Guld
0,Shriekwing,0,0.0,Revenant
1,Huntsman Altimor,1,2.77778,Revenant
2,Hungering Destroyer,2,5.55556,Revenant
3,Sun King's Salvation,3,8.33334,Revenant
4,Artificer Xy'mox,4,11.11111,Revenant
5,Lady Inerva Darkvein,5,8.33334,Revenant
6,The Council of Blood,6,22.22224,Revenant
7,Sludgefist,7,25.00002,Revenant
8,Stone Legion Generals,8,41.66668,Revenant
9,Sire Denathrius,9,19.44446,Revenant
0,Shriekwing,0,0.0,Humble
1,Huntsman Altimor,1,2.77778,Humble
2,Hungering Destroyer,2,2.77778,Humble
3,Sun King's Salvation,3,13.8889,Humble
4,Artificer Xy'mox,4,8.33334,Humble
5,Lady Inerva Darkvein,5,5.55556,Humble
6,The Council of Blood,6,13.8889,Humble
7,Sludgefist,7,16.66668,Humble
8,Stone Legion Generals,8,27.7778,Humble
9,Sire Denathrius,9,30.55558,Humble
0,Shriekwing,0,0.0,Rain
1,Huntsman Altimor,1,2.77778,Rain
2,Hungering Destroyer,2,8.33334,Rain
3,Sun King's Salvation,3,8.33334,Rain
4,Artificer Xy'mox,4,8.33334,Rain
5,Lady Inerva Darkvein,5,5.55556,Rain
6,The Council of Blood,6,11.11112,Rain
7,Sludgefist,7,11.11112,Rain
8,Stone Legion Generals,8,69.44445,Rain
9,Sire Denathrius,9,47.22224,Rain
0,Shriekwing,0,0.0,Awarëness
1,Huntsman Altimor,1,0.0,Awarëness
2,Hungering Destroyer,2,5.55556,Awarëness
3,Sun King's Salvation,3,5.55556,Awarëness
4,Artificer Xy'mox,4,5.55556,Awarëness
5,Lady Inerva Darkvein,5,5.55556,Awarëness
6,The Council of Blood,6,16.66668,Awarëness
7,Sludgefist,7,13.8889,Awarëness
8,Stone Legion Generals,8,27.7778,Awarëness
9,Sire Denathrius,9,27.7778,Awarëness
0,Shriekwing,0,0.0,FASTz
1,Huntsman Altimor,1,5.55556,FASTz
2,Hungering Destroyer,2,22.22222,FASTz
3,Sun King's Salvation,3,0.0,FASTz
4,Artificer Xy'mox,4,25.0,FASTz
5,Lady Inerva Darkvein,5,5.55556,FASTz
6,The Council of Blood,6,47.22222,FASTz
7,Sludgefist,7,30.55556,FASTz
8,Stone Legion Generals,8,108.33334,FASTz
9,Sire Denathrius,9,122.22222,FASTz
0,Shriekwing,0,19.44446,Ethical
1,Huntsman Altimor,1,8.33334,Ethical
2,Hungering Destroyer,2,5.55556,Ethical
3,Sun King's Salvation,3,5.55556,Ethical
4,Artificer Xy'mox,4,13.8889,Ethical
5,Lady Inerva Darkvein,5,11.11112,Ethical
6,The Council of Blood,6,2.77778,Ethical
7,Sludgefist,7,16.66668,Ethical
8,Stone Legion Generals,8,33.33336,Ethical
9,Sire Denathrius,9,22.22224,Ethical
0,Shriekwing,0,5.55556,Medium
1,Huntsman Altimor,1,0.0,Medium
2,Hungering Destroyer,2,2.77778,Medium
3,Sun King's Salvation,3,2.77778,Medium
4,Artificer Xy'mox,4,13.8889,Medium
5,Lady Inerva Darkvein,5,8.33334,Medium
6,The Council of Blood,6,5.55556,Medium
7,Sludgefist,7,16.66668,Medium
8,Stone Legion Generals,8,36.11114,Medium
9,Sire Denathrius,9,33.33336,Medium
0,Shriekwing,0,0.0,Relevant
1,Huntsman Altimor,1,0.0,Relevant
2,Hungering Destroyer,2,0.0,Relevant
3,Sun King's Salvation,3,5.55556,Relevant
4,Artificer Xy'mox,4,5.55556,Relevant
5,Lady Inerva Darkvein,5,0.0,Relevant
6,The Council of Blood,6,0.0,Relevant
7,Sludgefist,7,2.77778,Relevant
8,Stone Legion Generals,8,5.55556,Relevant
9,Sire Denathrius,9,22.22224,Relevant
0,Shriekwing,0,0.0,Crimson
1,Huntsman Altimor,1,0.0,Crimson
2,Hungering Destroyer,2,0.0,Crimson
3,Sun King's Salvation,3,0.0,Crimson
4,Artificer Xy'mox,4,0.0,Crimson
5,Lady Inerva Darkvein,5,0.0,Crimson
6,The Council of Blood,6,2.77778,Crimson
7,Sludgefist,7,2.77778,Crimson
8,Stone Legion Generals,8,16.66668,Crimson
9,Sire Denathrius,9,11.11112,Crimson
0,Shriekwing,0,2.77778,Mortal
1,Huntsman Altimor,1,2.77778,Mortal
2,Hungering Destroyer,2,8.33334,Mortal
3,Sun King's Salvation,3,11.11112,Mortal
4,Artificer Xy'mox,4,16.66668,Mortal
5,Lady Inerva Darkvein,5,5.55556,Mortal
6,The Council of Blood,6,13.8889,Mortal
7,Sludgefist,7,13.8889,Mortal
8,Stone Legion Generals,8,42.6667,Mortal
9,Sire Denathrius,9,38.88892,Mortal
0,Shriekwing,0,0.0,Group Therapy
1,Huntsman Altimor,1,2.77778,Group Therapy
2,Hungering Destroyer,2,2.77778,Group Therapy
3,Sun King's Salvation,3,8.33334,Group Therapy
4,Artificer Xy'mox,4,5.55556,Group Therapy
5,Lady Inerva Darkvein,5,8.33334,Group Therapy
6,The Council of Blood,6,11.11112,Group Therapy
7,Sludgefist,7,8.33334,Group Therapy
8,Stone Legion Generals,8,27.7778,Group Therapy
9,Sire Denathrius,9,13.8889,Group Therapy
0,Shriekwing,0,5.55556,Stones
1,Huntsman Altimor,1,0.0,Stones
2,Hungering Destroyer,2,5.55556,Stones
3,Sun King's Salvation,3,8.33334,Stones
4,Artificer Xy'mox,4,11.11112,Stones
5,Lady Inerva Darkvein,5,2.77778,Stones
6,The Council of Blood,6,16.66668,Stones
7,Sludgefist,7,19.44446,Stones
8,Stone Legion Generals,8,50.00004,Stones
9,Sire Denathrius,9,27.7778,Stones
0,Shriekwing,0,2.77778,Mainframe
1,Huntsman Altimor,1,5.55556,Mainframe
2,Hungering Destroyer,2,5.55556,Mainframe
3,Sun King's Salvation,3,5.55556,Mainframe
4,Artificer Xy'mox,4,5.55556,Mainframe
5,Lady Inerva Darkvein,5,0.0,Mainframe
6,The Council of Blood,6,8.33334,Mainframe
7,Sludgefist,7,13.8889,Mainframe
8,Stone Legion Generals,8,8.33334,Mainframe
9,Sire Denathrius,9,19.44446,Mainframe
0,Shriekwing,0,0.0,High Status
1,Huntsman Altimor,1,2.77778,High Status
2,Hungering Destroyer,2,0.0,High Status
3,Sun King's Salvation,3,5.55556,High Status
4,Artificer Xy'mox,4,8.33334,High Status
5,Lady Inerva Darkvein,5,0.0,High Status
6,The Council of Blood,6,11.11112,High Status
7,Sludgefist,7,13.8889,High Status
8,Stone Legion Generals,8,8.33334,High Status
0,Shriekwing,0,0.0,Invalid Target
1,Huntsman Altimor,1,5.55556,Invalid Target
2,Hungering Destroyer,2,2.77778,Invalid Target
3,Sun King's Salvation,3,8.33334,Invalid Target
4,Artificer Xy'mox,4,8.33334,Invalid Target
5,Lady Inerva Darkvein,5,2.77778,Invalid Target
6,The Council of Blood,6,22.22224,Invalid Target
7,Sludgefist,7,13.8889,Invalid Target
8,Stone Legion Generals,8,36.11114,Invalid Target
9,Sire Denathrius,9,30.55558,Invalid Target
0,Shriekwing,0,5.55556,Superbia
1,Huntsman Altimor,1,0.0,Superbia
2,Hungering Destroyer,2,0.0,Superbia
3,Sun King's Salvation,3,2.77778,Superbia
4,Artificer Xy'mox,4,5.55556,Superbia
5,Lady Inerva Darkvein,5,2.77778,Superbia
6,The Council of Blood,6,11.11112,Superbia
7,Sludgefist,7,11.11112,Superbia
8,Stone Legion Generals,8,33.33336,Superbia
9,Sire Denathrius,9,25.00002,Superbia
0,Shriekwing,0,16.66668,macht DRUCK
1,Huntsman Altimor,1,8.33334,macht DRUCK
2,Hungering Destroyer,2,2.77778,macht DRUCK
3,Sun King's Salvation,3,22.22224,macht DRUCK
4,Artificer Xy'mox,4,8.33334,macht DRUCK
5,Lady Inerva Darkvein,5,2.77778,macht DRUCK
6,The Council of Blood,6,8.33334,macht DRUCK
7,Sludgefist,7,22.22224,macht DRUCK
8,Stone Legion Generals,8,33.33336,macht DRUCK
9,Sire Denathrius,9,25.00002,macht DRUCK
0,Shriekwing,0,8.33334,Schwingen des Phoenix
1,Huntsman Altimor,1,0.0,Schwingen des Phoenix
2,Hungering Destroyer,2,5.55556,Schwingen des Phoenix
3,Sun King's Salvation,3,8.33334,Schwingen des Phoenix
4,Artificer Xy'mox,4,8.33334,Schwingen des Phoenix
5,Lady Inerva Darkvein,5,5.55556,Schwingen des Phoenix
6,The Council of Blood,6,16.66668,Schwingen des Phoenix
7,Sludgefist,7,22.22224,Schwingen des Phoenix
8,Stone Legion Generals,8,33.33336,Schwingen des Phoenix
9,Sire Denathrius,9,33.33336,Schwingen des Phoenix
0,Shriekwing,0,8.33334,Pure
1,Huntsman Altimor,1,2.77778,Pure
2,Hungering Destroyer,2,2.77778,Pure
3,Sun King's Salvation,3,5.55556,Pure
4,Artificer Xy'mox,4,8.33334,Pure
5,Lady Inerva Darkvein,5,8.33334,Pure
6,The Council of Blood,6,8.33334,Pure
7,Sludgefist,7,13.8889,Pure
8,Stone Legion Generals,8,44.44448,Pure
9,Sire Denathrius,9,19.44446,Pure
0,Shriekwing,0,0.0,Colour
1,Huntsman Altimor,1,2.77778,Colour
2,Hungering Destroyer,2,0.0,Colour
3,Sun King's Salvation,3,8.33334,Colour
4,Artificer Xy'mox,4,11.11112,Colour
5,Lady Inerva Darkvein,5,2.77778,Colour
6,The Council of Blood,6,11.11112,Colour
7,Sludgefist,7,19.44446,Colour
8,Stone Legion Generals,8,33.33336,Colour
9,Sire Denathrius,9,27.7778,Colour
0,Shriekwing,0,5.55556,Sabotage
1,Huntsman Altimor,1,0.0,Sabotage
2,Hungering Destroyer,2,5.55556,Sabotage
3,Sun King's Salvation,3,2.77778,Sabotage
4,Artificer Xy'mox,4,13.8889,Sabotage
5,Lady Inerva Darkvein,5,2.77778,Sabotage
6,The Council of Blood,6,13.8889,Sabotage
7,Sludgefist,7,11.11112,Sabotage
8,Stone Legion Generals,8,25.00002,Sabotage
9,Sire Denathrius,9,30.55558,Sabotage
0,Shriekwing,0,0.0,Adoria
1,Huntsman Altimor,1,0.0,Adoria
2,Hungering Destroyer,2,2.77778,Adoria
3,Sun King's Salvation,3,5.55556,Adoria
4,Artificer Xy'mox,4,8.33334,Adoria
5,Lady Inerva Darkvein,5,5.55556,Adoria
6,The Council of Blood,6,16.66668,Adoria
7,Sludgefist,7,16.66668,Adoria
8,Stone Legion Generals,8,25.00002,Adoria
9,Sire Denathrius,9,38.88892,Adoria
0,Shriekwing,0,0.0,TeamTilt
1,Huntsman Altimor,1,0.0,TeamTilt
2,Hungering Destroyer,2,2.77778,TeamTilt
3,Sun King's Salvation,3,0.0,TeamTilt
4,Artificer Xy'mox,4,2.77778,TeamTilt
5,Lady Inerva Darkvein,5,0.0,TeamTilt
6,The Council of Blood,6,0.0,TeamTilt
7,Sludgefist,7,0.0,TeamTilt
8,Stone Legion Generals,8,2.77778,TeamTilt
9,Sire Denathrius,9,2.77778,TeamTilt
0,Shriekwing,0,2.77778,Fragglene
1,Huntsman Altimor,1,0.0,Fragglene
2,Hungering Destroyer,2,5.55556,Fragglene
3,Sun King's Salvation,3,2.77778,Fragglene
4,Artificer Xy'mox,4,8.33334,Fragglene
5,Lady Inerva Darkvein,5,16.66668,Fragglene
6,The Council of Blood,6,13.8889,Fragglene
7,Sludgefist,7,13.8889,Fragglene
8,Stone Legion Generals,8,33.33336,Fragglene
9,Sire Denathrius,9,27.7778,Fragglene
0,Shriekwing,0,0.0,Integrity
1,Huntsman Altimor,1,0.0,Integrity
2,Hungering Destroyer,2,0.0,Integrity
3,Sun King's Salvation,3,2.77778,Integrity
4,Artificer Xy'mox,4,2.77778,Integrity
5,Lady Inerva Darkvein,5,0.0,Integrity
6,The Council of Blood,6,0.0,Integrity
7,Sludgefist,7,11.11112,Integrity
8,Stone Legion Generals,8,2.77778,Integrity
9,Sire Denathrius,9,0.0,Integrity
0,Shriekwing,0,0.0,Mythic Ravers
1,Huntsman Altimor,1,0.0,Mythic Ravers
2,Hungering Destroyer,2,0.0,Mythic Ravers
3,Sun King's Salvation,3,0.0,Mythic Ravers
4,Artificer Xy'mox,4,0.0,Mythic Ravers
5,Lady Inerva Darkvein,5,0.0,Mythic Ravers
6,The Council of Blood,6,0.0,Mythic Ravers
7,Sludgefist,7,0.0,Mythic Ravers
8,Stone Legion Generals,8,5.55556,Mythic Ravers
9,Sire Denathrius,9,11.11112,Mythic Ravers
0,Shriekwing,0,0.0,Competence Optional
1,Huntsman Altimor,1,2.77778,Competence Optional
2,Hungering Destroyer,2,0.0,Competence Optional
3,Sun King's Salvation,3,2.77778,Competence Optional
4,Artificer Xy'mox,4,0.0,Competence Optional
5,Lady Inerva Darkvein,5,2.77778,Competence Optional
6,The Council of Blood,6,0.0,Competence Optional
7,Sludgefist,7,5.55556,Competence Optional
8,Stone Legion Generals,8,25.00002,Competence Optional
9,Sire Denathrius,9,22.22224,Competence Optional
0,Shriekwing,0,2.77778,Burden
1,Huntsman Altimor,1,5.55556,Burden
2,Hungering Destroyer,2,2.77778,Burden
3,Sun King's Salvation,3,2.77778,Burden
4,Artificer Xy'mox,4,16.66668,Burden
5,Lady Inerva Darkvein,5,11.11112,Burden
6,The Council of Blood,6,5.55556,Burden
7,Sludgefist,7,22.22224,Burden
8,Stone Legion Generals,8,16.66668,Burden
9,Sire Denathrius,9,19.44446,Burden
0,Shriekwing,0,2.77778,Low Expectations
1,Huntsman Altimor,1,2.77778,Low Expectations
2,Hungering Destroyer,2,13.8889,Low Expectations
3,Sun King's Salvation,3,11.11112,Low Expectations
4,Artificer Xy'mox,4,8.33334,Low Expectations
5,Lady Inerva Darkvein,5,11.11112,Low Expectations
6,The Council of Blood,6,5.55556,Low Expectations
7,Sludgefist,7,8.33334,Low Expectations
8,Stone Legion Generals,8,5.55556,Low Expectations
0,Shriekwing,0,0.0,Ascendance
1,Huntsman Altimor,1,2.77778,Ascendance
2,Hungering Destroyer,2,0.0,Ascendance
3,Sun King's Salvation,3,0.0,Ascendance
4,Artificer Xy'mox,4,5.55556,Ascendance
5,Lady Inerva Darkvein,5,2.77778,Ascendance
6,The Council of Blood,6,5.55556,Ascendance
7,Sludgefist,7,5.55556,Ascendance
8,Stone Legion Generals,8,13.8889,Ascendance
9,Sire Denathrius,9,44.44448,Ascendance
0,Shriekwing,0,0.0,Amazing Stories
1,Huntsman Altimor,1,0.0,Amazing Stories
2,Hungering Destroyer,2,0.0,Amazing Stories
3,Artificer Xy'mox,4,2.77778,Amazing Stories
4,Lady Inerva Darkvein,5,5.55556,Amazing Stories
5,The Council of Blood,6,0.0,Amazing Stories
6,Sludgefist,7,2.77778,Amazing Stories
7,Stone Legion Generals,8,2.77778,Amazing Stories
8,Sire Denathrius,9,0.0,Amazing Stories
0,Shriekwing,0,19.44446,Sanity
1,Huntsman Altimor,1,11.11112,Sanity
2,Hungering Destroyer,2,8.33334,Sanity
3,Sun King's Salvation,3,5.55556,Sanity
4,Artificer Xy'mox,4,8.33334,Sanity
5,Lady Inerva Darkvein,5,5.55556,Sanity
6,The Council of Blood,6,11.11112,Sanity
7,Sludgefist,7,25.00002,Sanity
8,Stone Legion Generals,8,41.6667,Sanity
9,Sire Denathrius,9,27.7778,Sanity
0,Shriekwing,0,0.0,Imperium
1,Huntsman Altimor,1,2.77778,Imperium
2,Hungering Destroyer,2,5.55556,Imperium
3,Sun King's Salvation,3,8.33334,Imperium
4,Artificer Xy'mox,4,16.66668,Imperium
5,Lady Inerva Darkvein,5,0.0,Imperium
6,The Council of Blood,6,16.66668,Imperium
7,Sludgefist,7,16.66668,Imperium
8,Stone Legion Generals,8,38.88892,Imperium
9,Sire Denathrius,9,30.55558,Imperium
0,Shriekwing,0,2.77778,Arctic Avengers
1,Huntsman Altimor,1,2.77778,Arctic Avengers
2,Hungering Destroyer,2,2.77778,Arctic Avengers
3,Sun King's Salvation,3,5.55556,Arctic Avengers
4,Artificer Xy'mox,4,11.11112,Arctic Avengers
5,Lady Inerva Darkvein,5,2.77778,Arctic Avengers
6,The Council of Blood,6,8.33334,Arctic Avengers
7,Sludgefist,7,2.77778,Arctic Avengers
8,Stone Legion Generals,8,25.00002,Arctic Avengers
9,Sire Denathrius,9,13.8889,Arctic Avengers
0,Shriekwing,0,0.0,Veneration
1,Huntsman Altimor,1,2.77778,Veneration
2,Hungering Destroyer,2,0.0,Veneration
3,Sun King's Salvation,3,2.77778,Veneration
4,Artificer Xy'mox,4,0.0,Veneration
5,Lady Inerva Darkvein,5,0.0,Veneration
6,The Council of Blood,6,5.55556,Veneration
7,Sludgefist,7,2.77778,Veneration
8,Stone Legion Generals,8,8.33334,Veneration
9,Sire Denathrius,9,13.8889,Veneration
0,Shriekwing,0,0.0,Ring Åklagarn
1,Huntsman Altimor,1,0.0,Ring Åklagarn
2,Hungering Destroyer,2,8.33334,Ring Åklagarn
3,Sun King's Salvation,3,2.77778,Ring Åklagarn
4,Artificer Xy'mox,4,8.33334,Ring Åklagarn
5,Lady Inerva Darkvein,5,5.55556,Ring Åklagarn
6,The Council of Blood,6,11.11112,Ring Åklagarn
7,Sludgefist,7,2.77778,Ring Åklagarn
0,Shriekwing,0,2.77778,TED
1,Huntsman Altimor,1,2.77778,TED
2,Hungering Destroyer,2,19.44445,TED
3,Sun King's Salvation,3,2.77778,TED
4,Artificer Xy'mox,4,13.8889,TED
5,Lady Inerva Darkvein,5,0.0,TED
6,The Council of Blood,6,8.33334,TED
7,Sludgefist,7,11.11112,TED
8,Stone Legion Generals,8,27.7778,TED
9,Sire Denathrius,9,30.55558,TED
0,Shriekwing,0,2.77778,Phoenix
1,Huntsman Altimor,1,5.55556,Phoenix
2,Hungering Destroyer,2,5.55556,Phoenix
3,Sun King's Salvation,3,2.77778,Phoenix
4,Artificer Xy'mox,4,25.00002,Phoenix
5,Lady Inerva Darkvein,5,5.55556,Phoenix
6,The Council of Blood,6,11.11112,Phoenix
7,Sludgefist,7,19.44446,Phoenix
8,Stone Legion Generals,8,36.11114,Phoenix
9,Sire Denathrius,9,33.33336,Phoenix
0,Shriekwing,0,2.77778,Divinum
1,Huntsman Altimor,1,0.0,Divinum
2,Hungering Destroyer,2,0.0,Divinum
3,Sun King's Salvation,3,8.33334,Divinum
4,Artificer Xy'mox,4,0.0,Divinum
5,Lady Inerva Darkvein,5,5.55556,Divinum
6,The Council of Blood,6,0.0,Divinum
7,Sludgefist,7,0.0,Divinum
8,Stone Legion Generals,8,16.66668,Divinum
9,Sire Denathrius,9,8.33334,Divinum
0,Shriekwing,0,0.0,Versatile
1,Huntsman Altimor,1,2.77778,Versatile
2,Hungering Destroyer,2,8.33334,Versatile
3,Sun King's Salvation,3,5.55556,Versatile
4,Artificer Xy'mox,4,5.55556,Versatile
5,Lady Inerva Darkvein,5,8.33334,Versatile
6,The Council of Blood,6,11.11112,Versatile
7,Sludgefist,7,8.33334,Versatile
8,Stone Legion Generals,8,33.33336,Versatile
9,Sire Denathrius,9,16.66668,Versatile
0,Shriekwing,0,0.0,vDo
1,Huntsman Altimor,1,0.0,vDo
2,Hungering Destroyer,2,0.0,vDo
3,Sun King's Salvation,3,2.77778,vDo
4,Artificer Xy'mox,4,8.33334,vDo
5,Lady Inerva Darkvein,5,5.55556,vDo
6,The Council of Blood,6,13.8889,vDo
7,Sludgefist,7,11.11112,vDo
8,Stone Legion Generals,8,27.7778,vDo
9,Sire Denathrius,9,11.11112,vDo
0,Shriekwing,0,2.77778,Avem
1,Huntsman Altimor,1,2.77778,Avem
2,Hungering Destroyer,2,0.0,Avem
3,Sun King's Salvation,3,0.0,Avem
4,Artificer Xy'mox,4,0.0,Avem
5,Lady Inerva Darkvein,5,0.0,Avem
6,The Council of Blood,6,0.0,Avem
7,Sludgefist,7,5.55556,Avem
8,Stone Legion Generals,8,8.33334,Avem
9,Sire Denathrius,9,13.8889,Avem
0,Shriekwing,0,5.55556,Revivals
1,Huntsman Altimor,1,5.55556,Revivals
2,Hungering Destroyer,2,0.0,Revivals
3,Sun King's Salvation,3,0.0,Revivals
4,Artificer Xy'mox,4,11.11112,Revivals
5,Lady Inerva Darkvein,5,2.77778,Revivals
6,The Council of Blood,6,2.77778,Revivals
7,Sludgefist,7,5.55556,Revivals
8,Stone Legion Generals,8,19.44446,Revivals
9,Sire Denathrius,9,27.7778,Revivals
0,Shriekwing,0,2.77778,Catalyst
1,Huntsman Altimor,1,2.77778,Catalyst
2,Hungering Destroyer,2,2.77778,Catalyst
3,Sun King's Salvation,3,11.11112,Catalyst
4,Artificer Xy'mox,4,8.33334,Catalyst
5,Lady Inerva Darkvein,5,8.33334,Catalyst
6,The Council of Blood,6,19.44446,Catalyst
7,Sludgefist,7,11.11112,Catalyst
8,Stone Legion Generals,8,30.55558,Catalyst
9,Sire Denathrius,9,25.00002,Catalyst
0,Shriekwing,0,2.77778,Internet Friends
1,Huntsman Altimor,1,2.77778,Internet Friends
2,Hungering Destroyer,2,5.55556,Internet Friends
3,Sun King's Salvation,3,2.77778,Internet Friends
4,Artificer Xy'mox,4,13.8889,Internet Friends
5,Lady Inerva Darkvein,5,8.33334,Internet Friends
6,The Council of Blood,6,11.11112,Internet Friends
7,Sludgefist,7,19.44446,Internet Friends
8,Stone Legion Generals,8,22.22224,Internet Friends
9,Sire Denathrius,9,36.11114,Internet Friends
0,Shriekwing,0,2.77778,Echoes
1,Huntsman Altimor,1,2.77778,Echoes
2,Hungering Destroyer,2,2.77778,Echoes
3,Sun King's Salvation,3,8.33334,Echoes
4,Artificer Xy'mox,4,2.77778,Echoes
5,Lady Inerva Darkvein,5,11.11112,Echoes
6,The Council of Blood,6,13.8889,Echoes
7,Sludgefist,7,25.00002,Echoes
8,Stone Legion Generals,8,36.11114,Echoes
9,Sire Denathrius,9,30.55558,Echoes
0,Shriekwing,0,0.0,Inept
1,Huntsman Altimor,1,2.77778,Inept
2,Hungering Destroyer,2,0.0,Inept
3,Sun King's Salvation,3,5.55556,Inept
4,Artificer Xy'mox,4,11.11112,Inept
5,Lady Inerva Darkvein,5,2.77778,Inept
6,The Council of Blood,6,16.66668,Inept
7,Sludgefist,7,8.33334,Inept
0,Shriekwing,0,5.55556,Last Resort
1,Huntsman Altimor,1,0.0,Last Resort
2,Hungering Destroyer,2,5.55556,Last Resort
3,Sun King's Salvation,3,5.55556,Last Resort
4,Artificer Xy'mox,4,13.8889,Last Resort
5,Lady Inerva Darkvein,5,5.55556,Last Resort
6,The Council of Blood,6,25.00002,Last Resort
7,Sludgefist,7,22.22224,Last Resort
8,Stone Legion Generals,8,38.88892,Last Resort
9,Sire Denathrius,9,36.11114,Last Resort
0,Shriekwing,0,5.55556,Epoch
1,Huntsman Altimor,1,11.11112,Epoch
2,Hungering Destroyer,2,11.11112,Epoch
3,Sun King's Salvation,3,11.11112,Epoch
4,Artificer Xy'mox,4,8.33334,Epoch
5,Lady Inerva Darkvein,5,16.66668,Epoch
6,The Council of Blood,6,22.22224,Epoch
7,Sludgefist,7,25.00002,Epoch
8,Stone Legion Generals,8,61.11116,Epoch
9,Sire Denathrius,9,66.66672,Epoch
0,Shriekwing,0,5.55556,Tyrannical
1,Huntsman Altimor,1,5.55556,Tyrannical
2,Hungering Destroyer,2,5.55556,Tyrannical
3,Sun King's Salvation,3,16.66668,Tyrannical
4,Artificer Xy'mox,4,2.77778,Tyrannical
5,Lady Inerva Darkvein,5,8.33334,Tyrannical
